t,rotY
3.14032,-0.241008
3.15032,-0.223382
3.16032,-0.20582
3.17032,-0.188473
3.18032,-0.171416
3.19032,-0.154718
3.20032,-0.138439
3.21032,-0.122665
3.22032,-0.1076
3.23032,-0.0934473
3.24033,-0.0803862
3.25033,-0.0685689
3.26033,-0.0581236
3.27033,-0.0491577
3.28033,-0.0417572
3.29033,-0.0359878
3.30033,-0.0318968
3.31033,-0.0294595
3.32033,-0.0284495
3.33033,-0.0286088
3.34034,-0.0296953
3.35034,-0.0314832
3.36034,-0.0337951
3.37034,-0.0365804
3.38034,-0.0398142
3.39034,-0.0434702
3.40034,-0.047521
3.41034,-0.0518243
3.42034,-0.0558451
3.43034,-0.0590072
3.44035,-0.06079
3.45035,-0.0607287
3.46035,-0.0608118
3.47035,-0.0629872
3.48035,-0.0672149
3.49035,-0.0734577
3.50035,-0.081681
3.51035,-0.0919978
3.52035,-0.105045
3.53035,-0.121581
3.54036,-0.142369
3.55036,-0.168179
3.56036,-0.199694
3.57036,-0.237268
3.58036,-0.281184
3.59036,-0.331726
3.60036,-0.38918
3.61036,-0.453772
3.62036,-0.525494
3.63036,-0.604295
3.64037,-0.69013
3.65037,-0.782963
3.66037,-0.882741
3.67037,-0.989346
3.68037,-1.10265
3.69037,-1.22254
3.70037,-1.34889
3.71037,-1.48162
3.72037,-1.62068
3.73037,-1.76603
3.74038,-1.91764
3.75038,-2.07551
3.76038,-2.23966
3.77038,-2.41022
3.78038,-2.58738
3.79038,-2.77131
3.80038,-2.96217
3.81038,-3.16016
3.82038,-3.36556
3.83038,-3.57866
3.84039,-3.79977
3.85039,-4.02922
3.86039,-4.2673
3.87039,-4.51425
3.88039,-4.77027
3.89039,-5.03559
3.90039,-5.31044
3.91039,-5.59504
3.92039,-5.88945
3.93039,-6.19377
3.9404,-6.50806
3.9504,-6.83244
3.9604,-7.16711
3.9704,-7.51261
3.9804,-7.86952
3.9904,-8.23845
4.0004,-8.62003
4.0104,-9.01477
4.0204,-9.42277
4.0304,-9.84407
4.04041,-10.2788
4.05041,-10.7271
4.06041,-11.1892
4.07041,-11.6657
4.08041,-12.157
4.09041,-12.6639
4.10041,-13.187
4.11041,-13.727
4.12041,-14.2845
4.13041,-14.86
4.14042,-15.4543
4.15042,-16.0681
4.16042,-16.7023
4.17042,-17.3582
4.18042,-18.0373
4.19042,-18.7411
4.20042,-19.4715
4.21042,-20.2303
4.22042,-21.0196
4.23042,-21.8418
4.24043,-22.6995
4.25043,-23.5953
4.26043,-24.5322
4.27043,-25.513
4.28043,-26.5408
4.29043,-27.6189
4.30043,-28.7508
4.31043,-29.9406
4.32043,-31.1927
4.33043,-32.5123
4.34044,-33.9048
4.35044,-35.3762
4.36044,-36.9332
4.37044,-38.5827
4.38044,-40.332
4.39044,-42.1891
4.40044,-44.1621
4.41044,-46.2593
4.42044,-48.4889
4.43044,-50.8592
4.44045,-53.3775
4.45045,-56.0503
4.46045,-58.8824
4.47045,-61.8764
4.48045,-65.032
4.49045,-68.3452
4.50045,-71.808
4.51045,-75.4075
4.52045,-79.1258
4.53045,-82.9399
4.54046,-86.8227
4.55046,-90.7438
4.56046,-94.6712
4.57046,-98.5728
4.58046,-102.418
4.59046,-106.179
4.60046,-109.832
4.61046,-113.356
4.62046,-116.738
4.63046,-119.967
4.64047,-123.037
4.65047,-125.947
4.66047,-128.698
4.67047,-131.293
4.68047,-133.739
4.69047,-136.043
4.70047,-138.212
4.71047,-140.254
4.72047,-142.177
4.73047,-143.99
4.74048,-145.7
4.75048,-147.314
4.76048,-148.84
4.77048,-150.285
4.78048,-151.654
4.79048,-152.953
4.80048,-154.188
4.81048,-155.364
4.82048,-156.486
4.83048,-157.556
4.84049,-158.58
4.85049,-159.56
4.86049,-160.499
4.87049,-161.401
4.88049,-162.268
4.89049,-163.102
4.90049,-163.906
4.91049,-164.682
4.92049,-165.431
4.93049,-166.156
4.9405,-166.859
4.9505,-167.54
4.9605,-168.203
4.9705,-168.847
4.9805,-169.475
4.9905,-170.088
5.0005,-170.687
5.0105,-171.272
5.0205,-171.845
5.0305,-172.408
5.04051,-172.961
5.05051,-173.506
5.06051,-174.044
5.07051,-174.575
5.08051,-175.1
5.09051,-175.62
5.10051,-176.136
5.11051,-176.648
5.12051,-177.157
5.13051,-177.664
5.14052,-178.169
5.15052,-178.672
5.16052,-179.175
5.17052,-179.677
5.18052,179.821
5.19052,179.317
5.20052,178.812
